N;Insert Sort;Merge Sort
30;0.002584;0.004750
30;0.002709;0.004958
30;0.002583;0.005250
30;0.002750;0.004917
30;0.003292;0.004791
30;0.002459;0.005000
30;0.002750;0.004917
30;0.002459;0.005125
30;0.002958;0.005083
30;0.003292;0.005083
30;0.003250;0.005208
30;0.002958;0.004833
30;0.002750;0.004792
30;0.003166;0.004916
30;0.002750;0.004875
30;0.002375;0.004875
30;0.002375;0.005167
30;0.002875;0.005250
45;0.005458;0.008417
45;0.005125;0.008667
45;0.004625;0.008167
45;0.005834;0.008417
45;0.005542;0.008334
45;0.006125;0.008500
45;0.005542;0.007959
45;0.005458;0.008375
45;0.005875;0.008500
45;0.005375;0.008875
45;0.006125;0.008917
45;0.006208;0.008250
45;0.006375;0.008542
45;0.005708;0.008292
45;0.006250;0.008083
45;0.005792;0.008208
45;0.006333;0.008458
45;0.004959;0.008167
45;0.005583;0.008542
45;0.005334;0.008209
45;0.005542;0.008250
45;0.006375;0.008125
45;0.005708;0.008167
45;0.005833;0.008167
45;0.006125;0.007959
45;0.006167;0.008125
45;0.006792;0.008250
45;0.005750;0.008375
45;0.006042;0.007875
45;0.005583;0.008292
45;0.005625;0.008291
45;0.005583;0.007958
45;0.004917;0.008167
45;0.005833;0.007875
45;0.004709;0.008375
45;0.005542;0.008084
45;0.005791;0.007916
45;0.006041;0.008417
45;0.005583;0.008250
45;0.004875;0.008041
45;0.006667;0.007792
45;0.006042;0.008084
45;0.006042;0.007958
45;0.005959;0.008166
45;0.005625;0.007958
45;0.006333;0.008459
45;0.005834;0.008041
45;0.006500;0.008208
45;0.005875;0.008167
45;0.006167;0.008000
60;0.009916;0.011542
60;0.010500;0.011208
60;0.010208;0.011416
60;0.009875;0.011459
60;0.009083;0.011459
60;0.009209;0.011250
60;0.008042;0.011375
60;0.009916;0.011334
60;0.008542;0.011250
60;0.009458;0.011250
60;0.009459;0.011791
60;0.008250;0.011125
60;0.009875;0.011500
60;0.009292;0.011417
60;0.008375;0.011416
60;0.008959;0.011041
60;0.008209;0.011750
60;0.009542;0.011500
60;0.009125;0.011458
60;0.008791;0.010792
60;0.008792;0.011291
60;0.009667;0.011500
60;0.010125;0.011417
60;0.009250;0.011625
60;0.009625;0.011750
60;0.008959;0.011542
60;0.010375;0.011625
60;0.009750;0.011167
60;0.008792;0.011041
60;0.009291;0.011375
60;0.010334;0.010916
60;0.008708;0.010958
60;0.009375;0.010666
60;0.009708;0.011500
60;0.008792;0.011166
60;0.008917;0.011625
60;0.010417;0.011917
60;0.009083;0.011125
60;0.008791;0.011042
60;0.010375;0.011334
60;0.010125;0.010834
60;0.009750;0.011625
60;0.010375;0.011541
60;0.009833;0.011167
60;0.009250;0.011167
60;0.010250;0.011209
60;0.009167;0.011292
60;0.010042;0.011125
60;0.009708;0.011375
60;0.010291;0.011125
80;0.016708;0.016042
80;0.014584;0.016250
80;0.016583;0.015958
80;0.015375;0.016125
80;0.015125;0.016334
80;0.015959;0.016125
80;0.017375;0.016000
80;0.015750;0.015833
80;0.014291;0.015875
80;0.017083;0.016042
80;0.016334;0.016042
80;0.015792;0.016125
80;0.015125;0.015750
80;0.016375;0.015959
80;0.015500;0.015709
80;0.018791;0.016084
80;0.015500;0.015958
80;0.017750;0.016250
80;0.015333;0.016125
80;0.016084;0.015625
80;0.015792;0.015708
80;0.017292;0.015959
80;0.015459;0.016000
80;0.014959;0.016292
80;0.015625;0.015875
80;0.015584;0.016042
80;0.015291;0.015750
80;0.015791;0.016000
80;0.015416;0.016291
80;0.016292;0.015833
80;0.016875;0.016208
80;0.016083;0.016500
80;0.016291;0.015792
80;0.016417;0.015334
80;0.015375;0.015959
80;0.016042;0.016125
80;0.014542;0.016000
80;0.015291;0.015917
80;0.016166;0.015791
80;0.015584;0.015750
80;0.014875;0.015750
80;0.017125;0.015917
80;0.015375;0.016417
80;0.016959;0.014542
80;0.012750;0.014333
80;0.013500;0.013875
80;0.013833;0.013750
80;0.015250;0.013875
80;0.014458;0.013958
80;0.013250;0.013709
100;0.018750;0.018334
100;0.020375;0.018750
100;0.022709;0.018125
100;0.020000;0.018084
100;0.019875;0.018292
100;0.022625;0.017958
100;0.019250;0.018084
100;0.020500;0.018625
100;0.022834;0.018208
100;0.021458;0.017958
100;0.021083;0.018417
100;0.021417;0.018500
100;0.020500;0.018333
100;0.021875;0.018375
100;0.020917;0.018458
100;0.019209;0.017833
100;0.020041;0.018375
100;0.022792;0.018000
100;0.017208;0.017875
100;0.020500;0.017875
100;0.021000;0.018208
100;0.021125;0.018417
100;0.021375;0.018541
100;0.021375;0.018041
100;0.019542;0.018167
100;0.022000;0.018125
100;0.021667;0.017958
100;0.022958;0.017875
100;0.020208;0.017917
100;0.020000;0.018209
100;0.018375;0.017791
100;0.019709;0.017833
100;0.019250;0.017375
100;0.018083;0.017833
100;0.023792;0.018583
100;0.019875;0.017750
100;0.020834;0.018083
100;0.019792;0.018333
100;0.020625;0.017625
100;0.020459;0.017625
100;0.021750;0.018041
100;0.020875;0.018125
100;0.020542;0.017958
100;0.019583;0.018083
100;0.020000;0.017750
100;0.021000;0.017917
100;0.021375;0.017917
100;0.019625;0.017625
100;0.019292;0.018125
100;0.022459;0.018333
200;0.072833;0.040375
200;0.078958;0.040250
200;0.079875;0.042042
200;0.080542;0.040958
200;0.074667;0.039834
200;0.075958;0.041000
200;0.075208;0.040625
200;0.077292;0.040959
200;0.075958;0.041125
200;0.078584;0.040250
200;0.083333;0.040625
200;0.083666;0.041625
200;0.079417;0.040833
200;0.081208;0.040667
200;0.075625;0.041042
200;0.079875;0.040416
200;0.078958;0.040208
200;0.072542;0.040375
200;0.070583;0.040833
200;0.079541;0.040875
200;0.080459;0.043125
200;0.078792;0.039708
200;0.072834;0.040458
200;0.082708;0.040250
200;0.077542;0.040375
200;0.080834;0.041209
200;0.081125;0.041125
200;0.078333;0.040625
200;0.075042;0.040083
200;0.082250;0.040250
200;0.081334;0.039958
200;0.079667;0.040167
200;0.082917;0.040667
200;0.083625;0.040792
200;0.076000;0.040750
200;0.078708;0.040542
200;0.079708;0.040250
200;0.087375;0.041458
200;0.076833;0.040375
200;0.077417;0.041208
200;0.077875;0.039833
200;0.073292;0.040542
200;0.080167;0.040375
200;0.077125;0.039833
200;0.074250;0.040541
200;0.072625;0.041334
200;0.081208;0.040541
200;0.075583;0.040500
200;0.072791;0.040541
200;0.077125;0.041084
300;0.168000;0.066292
300;0.164875;0.062166
300;0.172250;0.058333
300;0.148166;0.056542
300;0.153500;0.056500
300;0.157750;0.057667
300;0.198459;0.061833
300;0.223292;0.081333
300;0.152500;0.062542
300;0.164750;0.059583
300;0.145417;0.058333
300;0.147417;0.057666
300;0.159458;0.057459
300;0.169167;0.085875
300;0.153875;0.059125
300;0.164875;0.061084
300;0.147042;0.060000
300;0.139833;0.059125
300;0.162958;0.058792
300;0.152000;0.058000
300;0.146917;0.058334
300;0.149666;0.057625
300;0.148834;0.056958
300;0.159208;0.059625
300;0.152208;0.057375
300;0.155166;0.057333
300;0.150042;0.057209
300;0.154834;0.057209
300;0.150500;0.056958
300;0.155250;0.057250
300;0.142625;0.057292
300;0.148917;0.057708
300;0.150792;0.077709
300;0.162750;0.058167
300;0.152375;0.057666
300;0.152666;0.057167
300;0.152167;0.057584
300;0.149416;0.057500
300;0.149250;0.056667
300;0.152500;0.057416
300;0.161916;0.057042
300;0.145625;0.057542
300;0.143625;0.056542
300;0.148209;0.051750
300;0.134791;0.051916
300;0.136875;0.051583
300;0.138917;0.051500
300;0.141250;0.051750
300;0.142334;0.051625
300;0.139625;0.050708
500;0.372459;0.094834
500;0.366959;0.093625
500;0.375750;0.093125
500;0.353459;0.093500
500;0.380542;0.092541
500;0.377041;0.093125
500;0.373917;0.092416
500;0.358208;0.091834
500;0.374041;0.092334
500;0.352000;0.091417
500;0.368417;0.092791
500;0.374666;0.092083
500;0.378083;0.092750
500;0.359583;0.084458
500;0.353417;0.084500
500;0.334916;0.085834
500;0.343458;0.084083
500;0.341042;0.084791
500;0.342125;0.085833
500;0.332250;0.084541
500;0.336500;0.083958
500;0.337167;0.084792
500;0.337917;0.085750
500;0.339000;0.084708
500;0.339416;0.085417
500;0.341958;0.094833
500;0.341708;0.086583
500;0.375084;0.087583
500;0.358083;0.086333
500;0.400083;0.085625
500;0.343583;0.095000
500;0.350375;0.078250
500;0.327417;0.079875
500;0.314709;0.078791
500;0.309916;0.083500
500;0.320791;0.079125
500;0.295708;0.078917
500;0.308041;0.078541
500;0.327500;0.079750
500;0.318792;0.078583
500;0.311875;0.077958
500;0.320042;0.078500
500;0.321083;0.078291
500;0.310625;0.077791
500;0.326500;0.078208
500;0.350000;0.093541
500;0.327792;0.086834
500;0.825125;0.079875
500;0.283875;0.073958
500;0.309709;0.076084
1000;1.370417;0.172708
1000;1.201250;0.167167
1000;1.195958;0.166417
1000;1.177000;0.164666
1000;1.213500;0.163750
1000;1.133000;0.161583
1000;1.130417;0.150958
1000;1.086875;0.149792
1000;1.097750;0.152083
1000;1.078041;0.149542
1000;1.093917;0.151542
1000;1.073125;0.150583
1000;1.107958;0.149084
1000;1.073583;0.151416
1000;1.068208;0.149875
1000;1.075459;0.150791
1000;1.103292;0.149541
1000;1.073083;0.171709
