N;Merge Sort;Quick Sort;Heap Sort;Quick Sort Modification;Sort with Skip List
100000;23.001917;15.393334;35.135250;146.902791;46.294834
100000;23.138709;16.007709;35.425042;147.443833;45.898459
100000;22.941334;15.281500;35.342584;148.180208;46.445250
100000;22.918417;15.350625;35.072250;146.995750;45.910583
100000;23.075208;15.440750;35.126166;147.122708;46.369500
100000;22.925458;15.496584;35.133958;146.943292;46.334625
250000;62.172333;41.464958;115.789500;383.250042;126.823916
250000;62.046458;41.723042;94.820500;382.401458;128.315041
250000;62.086417;40.901000;94.668958;382.165833;128.312000
250000;61.986042;40.598791;94.945000;381.478042;127.107750
250000;61.836041;41.288250;94.513625;382.866375;127.066000
250000;62.038334;40.794334;94.579250;382.894625;127.002875
250000;61.852209;41.283666;94.519625;382.728292;128.057625
250000;62.029375;41.168375;94.633209;385.310917;126.331083
250000;62.041208;41.340583;94.932167;383.022958;127.066500
250000;62.089417;40.781541;95.108750;384.337042;127.227709
500000;131.605959;85.906042;200.063292;796.198500;297.663208
500000;131.083334;86.813500;202.313333;796.549667;295.640000
500000;131.198959;87.000250;201.638750;799.687958;297.598416
500000;130.955209;86.407750;200.828834;790.998083;294.712125
500000;131.357500;85.999125;199.933375;792.730708;291.323083
500000;131.001500;86.300542;204.013291;809.978625;291.782916
500000;131.075875;85.607625;203.027375;800.673000;293.144083
500000;133.521125;87.076250;203.197000;795.911959;294.472541
500000;131.844750;87.396000;204.434041;800.614875;307.497459
500000;132.655583;86.820333;203.200042;841.001833;296.974792
750000;202.562833;132.243042;318.751667;1230.159208;519.297084
750000;206.141625;133.439083;312.252917;1235.487417;524.118250
750000;205.359833;135.068375;313.293542;1236.574958;519.943458
750000;204.461334;132.754709;311.077250;1224.596167;520.517291
750000;203.020292;134.501458;312.057667;1223.281875;521.244833
750000;201.909209;133.259375;310.393459;1232.836375;518.692250
750000;201.916458;133.107959;310.259500;1228.131417;519.338042
750000;203.414417;136.274125;310.376750;1229.902541;518.530959
750000;201.689834;135.056416;310.111459;1234.890708;517.146833
750000;205.200917;132.383917;310.938334;1261.103541;544.705416
1000000;279.354958;182.767042;462.312000;1646.218625;777.372458
1000000;278.538583;183.339333;427.857833;1642.936000;795.677292
1000000;275.314958;179.416208;427.967667;1639.025250;788.572541
1000000;275.268750;187.184792;424.040917;1646.175333;780.945209
1000000;278.461292;180.812959;427.324167;1652.776333;793.712000
1000000;275.848166;184.150792;431.572333;1655.125791;789.999875
1000000;280.042542;181.349958;429.692333;1636.000083;868.354959
1000000;277.734083;180.606500;432.405041;1647.941750;797.383958
1000000;276.182708;180.182791;427.673708;1647.273541;787.276333
1000000;276.204958;178.929333;425.932500;1654.904000;787.507708
