N;M;Insert Sort;Insert Sort with Binary Search
20;1000;0.020750;0.016459
20;1000;0.021458;0.016917
20;1000;0.023375;0.017583
40;1;0.041833;0.024542
40;1;0.035709;0.025250
40;1;0.034625;0.024208
40;1;0.039042;0.025167
40;1;0.041000;0.025209
40;1;0.032459;0.024792
40;1;0.042500;0.025000
40;1;0.039042;0.024792
40;1;0.035917;0.024625
40;1;0.040167;0.025000
40;2;0.039917;0.025000
40;2;0.041500;0.024667
40;2;0.044584;0.030250
40;2;0.046833;0.025541
40;2;0.044709;0.025333
40;2;0.041125;0.024792
40;2;0.043208;0.025750
40;2;0.034667;0.023875
40;2;0.050375;0.025583
40;2;0.045625;0.025209
40;5;0.044250;0.025333
40;5;0.046083;0.025042
40;5;0.046208;0.025083
40;5;0.040041;0.025125
40;5;0.035792;0.028583
40;5;0.043459;0.025125
40;5;0.045583;0.025958
40;5;0.039000;0.024166
40;5;0.038334;0.024667
40;5;0.038917;0.024750
40;10;0.044042;0.025875
40;10;0.041833;0.024625
40;10;0.044917;0.024750
40;10;0.045750;0.025125
40;10;0.048666;0.025250
40;10;0.046417;0.025708
40;10;0.045125;0.025416
40;10;0.038459;0.024417
40;10;0.041166;0.024834
40;10;0.047708;0.024875
40;50;0.051583;0.032208
40;50;0.043125;0.030334
40;50;0.050750;0.031542
40;50;0.043958;0.026625
40;50;0.040667;0.026125
40;50;0.041459;0.026333
40;50;0.041000;0.027333
40;50;0.040709;0.026959
40;50;0.039125;0.026167
40;50;0.040708;0.026750
40;100;0.041417;0.026167
40;100;0.043375;0.026083
40;100;0.041875;0.026292
40;100;0.042625;0.025959
40;100;0.042375;0.025083
40;100;0.040458;0.024542
40;100;0.039000;0.025250
40;100;0.042417;0.025916
40;100;0.043041;0.025917
40;100;0.039167;0.025583
40;200;0.044916;0.027667
40;200;0.049250;0.028416
40;200;0.048125;0.028708
40;200;0.042916;0.027000
40;200;0.049333;0.028625
40;200;0.049042;0.028042
40;200;0.042833;0.027292
40;200;0.046667;0.028125
40;200;0.053333;0.029167
40;200;0.048917;0.027792
40;300;0.048958;0.032833
40;300;0.038958;0.029958
40;300;0.055417;0.033708
40;300;0.044625;0.030792
40;300;0.046375;0.032417
40;300;0.046584;0.031750
40;300;0.047292;0.031667
40;300;0.055208;0.032875
40;300;0.046042;0.031708
40;300;0.039917;0.027542
40;500;0.045834;0.031542
40;500;0.047959;0.032166
40;500;0.037500;0.029250
40;500;0.046583;0.031083
40;500;0.039459;0.028667
40;500;0.040500;0.029167
40;500;0.034625;0.027625
40;500;0.043959;0.030250
40;500;0.044000;0.030583
40;500;0.043917;0.029709
40;1000;0.045250;0.033292
40;1000;0.051667;0.035166
40;1000;0.051792;0.035416
40;1000;0.040208;0.029458
40;1000;0.052500;0.033500
40;1000;0.042791;0.029875
40;1000;0.045167;0.031083
40;1000;0.042458;0.030000
40;1000;0.055833;0.034792
40;1000;0.043042;0.030417
60;1;0.059208;0.030500
60;1;0.048750;0.029250
60;1;0.067916;0.030333
60;1;0.050125;0.029375
60;1;0.053042;0.029875
60;1;0.063583;0.030334
60;1;0.062875;0.030333
60;1;0.055875;0.029583
60;1;0.061834;0.030583
60;1;0.059334;0.029750
60;2;0.065666;0.030667
60;2;0.064542;0.030166
60;2;0.065375;0.030416
60;2;0.060041;0.029500
60;2;0.067000;0.030750
60;2;0.060500;0.029875
60;2;0.067083;0.030625
60;2;0.064666;0.030166
60;2;0.054000;0.026875
60;2;0.064958;0.028250
60;5;0.060084;0.027417
60;5;0.056125;0.027209
60;5;0.055292;0.027459
60;5;0.061833;0.027917
60;5;0.061416;0.027750
60;5;0.058583;0.027666
60;5;0.062208;0.027750
60;5;0.052208;0.026834
60;5;0.060417;0.027875
60;5;0.048459;0.026917
60;10;0.060125;0.026917
60;10;0.052583;0.027417
60;10;0.055708;0.027209
60;10;0.058500;0.027958
60;10;0.061291;0.027958
60;10;0.056583;0.027584
60;10;0.061208;0.027958
60;10;0.055583;0.027042
60;10;0.053917;0.026958
60;10;0.058166;0.027083
60;50;0.066125;0.035416
60;50;0.058958;0.033792
60;50;0.061917;0.034667
60;50;0.065500;0.034500
60;50;0.047000;0.031583
60;50;0.069458;0.035541
60;50;0.058959;0.033583
60;50;0.058833;0.033666
60;50;0.070125;0.035208
60;50;0.073458;0.035750
60;100;0.065250;0.033000
60;100;0.059666;0.032167
60;100;0.067166;0.034292
60;100;0.077208;0.035250
60;100;0.066917;0.033042
60;100;0.068708;0.033750
60;100;0.060167;0.032334
60;100;0.065083;0.035791
60;100;0.063250;0.032750
60;100;0.069917;0.033791
60;200;0.065458;0.035667
60;200;0.068792;0.036125
60;200;0.064041;0.035209
60;200;0.059541;0.033958
60;200;0.058834;0.032500
60;200;0.059792;0.032583
60;200;0.067458;0.033709
60;200;0.062292;0.033125
60;200;0.056292;0.031459
60;200;0.060167;0.032500
60;300;0.059208;0.036583
60;300;0.067375;0.038416
60;300;0.057083;0.036292
60;300;0.065917;0.038208
60;300;0.066167;0.037834
60;300;0.067291;0.038875
60;300;0.073792;0.039625
60;300;0.065167;0.037333
60;300;0.073416;0.039375
60;300;0.066791;0.038750
60;500;0.069166;0.041834
60;500;0.061542;0.039792
60;500;0.069750;0.040458
60;500;0.064917;0.039500
60;500;0.062541;0.038125
60;500;0.074083;0.041292
60;500;0.063792;0.038500
60;500;0.066792;0.039375
60;500;0.068333;0.040375
60;500;0.060042;0.037541
60;1000;0.078125;0.047000
60;1000;0.077250;0.046750
60;1000;0.079583;0.048000
60;1000;0.078625;0.047083
60;1000;0.070417;0.042833
60;1000;0.067125;0.042458
60;1000;0.079709;0.045916
60;1000;0.061833;0.040125
60;1000;0.076666;0.044584
60;1000;0.078042;0.045416
80;1;0.080917;0.032417
80;1;0.080041;0.032375
80;1;0.072125;0.032250
80;1;0.084333;0.032166
80;1;0.078667;0.032083
80;1;0.074708;0.031834
80;1;0.094125;0.032375
80;1;0.078917;0.032084
80;1;0.068583;0.031417
80;1;0.073167;0.031666
80;2;0.079500;0.032875
